job_id,user,account,partition,qos,wallclock_req,nodes_req,processors_req,gpus_req,mem_req,submit_time,end_time,name,work_dir,submit_line,job_length,user_account_name
11453945,user0600,account0017,partition006,high,7200.0,1,1,1,751616.0,2023-01-20 17:50:59,2023-01-20 17:57:52,name02465158,work_dir02262236,submit_line01335386,short,Other
230024,user0557,account0431,partition001,high,172800.0,1,1,0,85248.0,2023-01-22 00:16:59,2023-01-22 04:36:27,name00000028,work_dir02341241,submit_line00015128,long,Other
11499541,user0322,account0180,partition007,normal,14400.0,1,36,0,85248.0,2023-01-25 12:39:43,2023-01-25 20:01:32,name02517671,work_dir02345166,submit_line01369275,medium,Other
11440393,user0408,account0495,partition007,normal,14400.0,1,1,0,85248.0,2023-01-19 22:20:45,2023-01-20 02:04:44,name02584549,work_dir02339881,submit_line01324364,short,Other
11465398,user0095,account0529,partition028,standby,172800.0,1,72,0,85248.0,2023-01-22 07:18:58,2023-02-03 20:15:00,name00011523,work_dir02341876,submit_line00000340,long,user0095@account0529@name00011523
11455610,user0095,account0529,partition028,standby,172800.0,1,72,0,85248.0,2023-01-21 05:27:57,2023-01-23 03:30:51,name00011523,work_dir02268416,submit_line00000340,long,user0095@account0529@name00011523
11634120,user0166,account0515,partition001,high,172800.0,1,1,0,175000.0,2023-02-15 13:36:37,2023-02-16 01:21:27,name02660304,work_dir02212920,submit_line01428974,long,Other
11537711,user0322,account0180,partition007,normal,14400.0,1,36,0,85248.0,2023-01-30 00:39:53,2023-01-30 00:56:43,name00059927,work_dir02347586,submit_line01343681,short,user0322@account0180@name00059927
11534191,user0408,account0495,partition007,normal,14400.0,1,1,0,85248.0,2023-01-28 22:53:46,2023-01-29 06:22:12,name02643523,work_dir02347458,submit_line01393599,short,Other
11465421,user0095,account0529,partition028,standby,172800.0,1,72,0,85248.0,2023-01-22 07:18:59,2023-02-02 19:47:48,name00011523,work_dir02341891,submit_line00000340,long,user0095@account0529@name00011523
11392822,user0726,account0493,partition001,high,21600.0,1,1,0,90000.0,2023-01-11 21:25:47,2023-01-11 22:42:18,name02556564,work_dir02335913,submit_line01295108,long,Other
14781,user0716,account0464,partition026,standby,7200.0,1,1,0,85248.0,2023-02-04 14:36:23,2023-02-04 14:38:09,name00295747,work_dir02355690,submit_line00040283,short,user0716@account0464@name00295747
11414851,user0408,account0495,partition007,normal,14400.0,1,1,0,85248.0,2023-01-13 10:30:44,2023-01-15 08:37:04,name02575155,work_dir02336662,submit_line01313407,short,Other
11563701,user0570,account0018,partition001,high,172800.0,2,72,0,170496.0,2023-02-03 10:21:49,2023-02-05 10:24:44,name01129575,work_dir02346981,submit_line00000546,long,Other
11647009,user0295,account0472,partition001,high,18000.0,1,1,0,85248.0,2023-02-17 07:10:28,2023-02-17 08:25:42,name02650679,work_dir02366077,submit_line01432798,short,user0295@account0472@name02650679
11571588,user0095,account0529,partition028,standby,172800.0,1,72,0,85248.0,2023-02-05 06:18:09,2023-02-06 05:54:47,name00011523,work_dir02356210,submit_line00000340,short,user0095@account0529@name00011523
11540348,user0716,account0464,partition026,standby,7200.0,1,1,0,85248.0,2023-01-30 13:50:39,2023-01-30 23:22:32,name00295747,work_dir02348388,submit_line00040283,short,user0716@account0464@name00295747
11571557,user0095,account0529,partition028,standby,172800.0,1,72,0,85248.0,2023-02-05 06:18:07,2023-02-05 21:04:40,name00011523,work_dir02356159,submit_line00000340,short,user0095@account0529@name00011523
