job_id,qos,gpus_req,user_account_name,processors_req_nodes,nodes_req_mem,processors_req_mem,partition_wallclock
11453945,25,1,0,1.0,751616.0,751616.0,288000.0
230024,25,0,0,1.0,85248.0,85248.0,8640000.0
11499541,20,0,0,36.0,85248.0,2368.0,432000.0
11440393,20,0,0,1.0,85248.0,85248.0,432000.0
11465398,30,0,1,72.0,85248.0,1184.0,10368000.0
11455610,30,0,1,72.0,85248.0,1184.0,10368000.0
11634120,25,0,0,1.0,175000.0,175000.0,8640000.0
11537711,20,0,2,36.0,85248.0,2368.0,432000.0
11534191,20,0,0,1.0,85248.0,85248.0,432000.0
11465421,30,0,1,72.0,85248.0,1184.0,10368000.0
11392822,25,0,0,1.0,90000.0,90000.0,1080000.0
14781,30,0,3,1.0,85248.0,85248.0,144000.0
11414851,20,0,0,1.0,85248.0,85248.0,432000.0
11563701,25,0,0,36.0,85248.0,2368.0,8640000.0
11647009,25,0,4,1.0,85248.0,85248.0,900000.0
11571588,30,0,1,72.0,85248.0,1184.0,10368000.0
11540348,30,0,3,1.0,85248.0,85248.0,144000.0
11571557,30,0,1,72.0,85248.0,1184.0,10368000.0
11543093,30,0,3,1.0,85248.0,85248.0,144000.0
11542773,30,0,3,1.0,85248.0,85248.0,144000.0
11635342,25,0,0,1.0,85248.0,85248.0,108000.0
11529974,20,0,0,1.0,85248.0,85248.0,432000.0
1410,20,0,0,1.0,85248.0,85248.0,27000.0
14770,30,0,3,1.0,85248.0,85248.0,144000.0
11643221,25,0,5,36.0,85248.0,2368.0,2160000.0
11465215,30,0,1,72.0,85248.0,1184.0,10368000.0
11542962,30,0,3,1.0,85248.0,85248.0,144000.0
11464894,30,0,1,72.0,85248.0,1184.0,10368000.0
11543113,30,0,3,1.0,85248.0,85248.0,144000.0
11649424,25,0,4,1.0,85248.0,85248.0,900000.0
11415359,20,0,0,1.0,85248.0,85248.0,432000.0
11542795,30,0,3,1.0,85248.0,85248.0,144000.0
11378135,20,0,0,1.0,85248.0,85248.0,432000.0
11365232,30,0,0,1.0,90000.0,90000.0,10368000.0
11465,25,0,0,36.0,85248.0,2368.0,162000.0
11589130,20,0,0,1.0,85248.0,85248.0,414000.0
11573732,30,0,3,1.0,85248.0,85248.0,144000.0
11425573,30,0,1,72.0,85248.0,1184.0,10368000.0
11433625,25,0,0,36.0,85248.0,2368.0,4320000.0
11643455,25,0,5,36.0,85248.0,2368.0,2160000.0
11396309,20,0,0,1.0,85248.0,85248.0,432000.0
11382577,20,0,0,36.0,85248.0,2368.0,216000.0
11643539,25,0,5,36.0,85248.0,2368.0,2160000.0
11370069,20,0,0,1.0,85248.0,85248.0,432000.0
14786,30,0,3,1.0,85248.0,85248.0,144000.0
11601213,25,0,0,1.0,85248.0,85248.0,432000.0
20402,25,0,0,1.0,85248.0,85248.0,432000.0
11331077,20,0,0,1.0,85248.0,85248.0,432000.0
11453978,25,1,0,1.0,751616.0,751616.0,288000.0
11427303,30,0,0,1.0,85248.0,85248.0,10368000.0
11464898,30,0,1,72.0,85248.0,1184.0,10368000.0
219168,25,0,0,1.0,85248.0,85248.0,4320000.0
197215,25,0,0,1.0,90000.0,90000.0,1080000.0
11416262,20,0,0,1.0,85248.0,85248.0,432000.0
11657710,25,0,0,1.0,85248.0,85248.0,8637000.0
20385,25,0,0,1.0,85248.0,85248.0,432000.0
11550244,30,0,3,1.0,85248.0,85248.0,144000.0
11570641,20,0,0,36.0,85248.0,2368.0,4320000.0
11647242,25,0,4,1.0,85248.0,85248.0,900000.0
218999,25,0,0,1.0,85248.0,85248.0,4320000.0
11516020,20,0,0,1.0,85248.0,85248.0,432000.0
11446255,20,0,0,1.0,85248.0,85248.0,432000.0
11465070,30,0,1,72.0,85248.0,1184.0,10368000.0
11430504,30,0,1,72.0,85248.0,1184.0,10368000.0
11532684,20,0,0,1.0,85248.0,85248.0,432000.0
11505197,20,0,0,1.0,85248.0,85248.0,432000.0
1942,25,0,0,1.0,85248.0,85248.0,36000.0
